NAME	DESCRIPTION	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_experimental	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_control
WDR54	na	0.38	0.07
4930502E18RIK	na	0.38	0.07
ZFP354A	na	0.76	0.14
CDK3-PS	na	5.2	0.96
PER1	na	39.94	7.38
SERINC2	na	3.57	0.66
THBS2	na	8.09	1.5
HIST1H4A	na	0.86	0.16
GM16157	na	3.16	0.59
TMEM45A	na	6.05	1.13
NDRG1	na	88.92	16.65
KCNJ14	na	0.16	0.03
HTR2A	na	0.16	0.03
LGR5	na	0.48	0.09
LHX6	na	2.08	0.39
CYP46A1	na	0.64	0.12
CHST5	na	0.48	0.09
KIRREL	na	5.01	0.94
FSTL3	na	8.58	1.61
PF4	na	41.72	7.84
GM7827	na	0.53	0.1
C5AR1	na	2.12	0.4
BZRAP1	na	5.77	1.09
DPF1	na	0.84	0.16
PITX2	na	0.21	0.04
PCDH9	na	0.21	0.04
MUC2	na	0.21	0.04
AI839979	na	1.94	0.37
CCL9	na	29.28	5.59
LOC100038947	na	1.15	0.22
ANKRD29	na	6.27	1.2
ZFP972	na	21.9	4.2
CLDN9	na	1.46	0.28
IL6	na	0.26	0.05
SNX32	na	21.47	4.13
ZFP704	na	19.64	3.78
5830418P13RIK	na	56.36	10.89
MGMT	na	34.85	6.75
F3	na	26.47	5.14
TSX	na	0.87	0.17
COL12A1	na	7.81	1.53
RTN4RL2	na	2.44	0.48
CKM	na	5.02	0.99
HIST1H2BH	na	1.47	0.29
SIDT1	na	14.54	2.87
ARHGEF9	na	6.22	1.23
MORF4L2	na	374.01	73.97
MEG3	na	3.08	0.61
AIF1L	na	10.26	2.04
FAM19A3	na	0.15	0.03
PGA5	na	1.3	0.26
ADAM22	na	1.35	0.27
OACYL	na	0.05	0.01
SRPX2	na	2.15	0.43
4930548H24RIK	na	0.2	0.04
PCDHB12	na	0.15	0.03
FBXL7	na	0.8	0.16
KCNT1	na	0.05	0.01
UGT1A2	na	0.05	0.01
TRPC5	na	0.05	0.01
TMEM130	na	0.15	0.03
SRRM4	na	0.05	0.01
TRIM69	na	0.4	0.08
FAM163A	na	0.15	0.03
GM20362	na	0.45	0.09
VMN2R-PS54	na	0.05	0.01
CORO2B	na	19.21	3.85
MCOLN2	na	14.76	2.96
SPATA33	na	5.83	1.17
VASH1	na	3.82	0.77
ACER2	na	12.65	2.55
PELI2	na	8.47	1.71
CD164L2	na	2.03	0.41
FHL2	na	5.19	1.05
FBN1	na	9.09	1.84
CD109	na	0.79	0.16
DKK3	na	6.06	1.23
C130050O18RIK	na	1.23	0.25
SLC29A4	na	1.08	0.22
LCN4	na	7.16	1.46
CORT	na	0.44	0.09
ZFP781	na	10.54	2.16
ACVR2A	na	8.44	1.73
PLEKHA6	na	4.63	0.95
SVEP1	na	2.19	0.45
SELP	na	3.65	0.75
NOTCH3	na	32.77	6.74
SPATA7	na	13.4	2.77
WFS1	na	6.43	1.33
ASGR1	na	0.58	0.12
LGMN	na	178.72	36.98
HLCS	na	17.86	3.7
ADAMTS13	na	2.55	0.53
EMID1	na	66.19	13.77
TAS1R1	na	0.72	0.15
CASKIN1	na	0.24	0.05
C1S2	na	0.24	0.05
PCDHB18	na	0.24	0.05
TRAIP	na	27.24	5.69
SEMA4G	na	8.75	1.83
GPR20	na	0.43	0.09
ISM1	na	1.05	0.22
SLC26A8	na	0.57	0.12
2700054A10RIK	na	0.9	0.19
ISLR2	na	0.52	0.11
RIMS4	na	0.52	0.11
2010204K13RIK	na	7.23	1.53
SEMA6B	na	3.91	0.83
KIF26A	na	7.05	1.5
NECAB1	na	0.47	0.1
CENPV	na	53.59	11.42
ADGRG1	na	81.94	17.51
SELE	na	0.28	0.06
ADAMTS16	na	0.14	0.03
P4HTM	na	4.38	0.94
PRRT2	na	5.53	1.19
SLC25A27	na	8.64	1.86
VEGFD	na	5.05	1.09
DCDC2C	na	2.5	0.54
GM15645	na	1.99	0.43
GM26839	na	0.37	0.08
POLN	na	6.93	1.5
TMPRSS3	na	0.6	0.13
ANXA1	na	126.16	27.34
FHOD3	na	2.21	0.48
ITGB1BP2	na	0.69	0.15
ENPP6	na	0.23	0.05
NAIP1	na	0.23	0.05
WISP2	na	1.01	0.22
CD209C	na	6.83	1.49
B230208H11RIK	na	1.97	0.43
FKBP7	na	33.76	7.37
SLAIN1OS	na	0.32	0.07
SEC61A2	na	22.75	4.98
THA1	na	8.45	1.85
DAAM2	na	2.1	0.46
CD163L1	na	4.61	1.01
FSTL4	na	0.41	0.09
PHF11C	na	1.91	0.42
4930565N06RIK	na	1.0	0.22
KDELR3	na	3.68	0.81
FOSL2	na	8.9	1.96
LTF	na	1.68	0.37
DPYSL5	na	0.59	0.13
VGLL3	na	2.36	0.52
COL4A1	na	47.39	10.51
RAB33A	na	6.22	1.38
KDM4D	na	0.36	0.08
DNAH10	na	0.09	0.02
EBF4	na	0.18	0.04
HIST1H3E	na	4.14	0.92
DCPP1	na	2.15	0.48
RAPGEFL1	na	3.18	0.71
HDAC4	na	16.14	3.61
4930415F15RIK	na	5.32	1.19
FAM83A	na	1.87	0.42
PTPRN2	na	8.22	1.85
ADAMTS15	na	1.51	0.34
NXPE2	na	3.55	0.8
HMGCS2	na	36.1	8.14
SOBP	na	1.15	0.26
TTLL3	na	7.37	1.67
SAPCD1	na	18.61	4.22
PCYT1B	na	1.94	0.44
ROR2	na	0.66	0.15
CUX2	na	0.22	0.05
PHACTR2	na	11.08	2.52
CELF5	na	0.57	0.13
CASQ1	na	0.7	0.16
SYNGAP1	na	3.67	0.84
SPTBN2	na	2.49	0.57
MMP13	na	1.22	0.28
PRSS27	na	1.22	0.28
OSCP1	na	6.84	1.57
MOXD1	na	0.87	0.2
PHLPP2	na	3.65	0.84
PCDHB5	na	0.13	0.03
TTLL7	na	0.26	0.06
GM6313	na	0.52	0.12
DNAH11	na	0.13	0.03
C1QTNF5	na	1.82	0.42
GM14827	na	0.13	0.03
PRSS33	na	0.26	0.06
1700061G19RIK	na	0.13	0.03
PDE2A	na	16.76	3.87
SERAC1	na	9.76	2.26
NPY	na	2.24	0.52
UFSP1	na	1.55	0.36
KHDC3	na	0.43	0.1
SERPINA3K	na	0.43	0.1
ADAMTS4	na	0.43	0.1
ENC1	na	15.35	3.57
PPIL6	na	0.9	0.21
REM2	na	0.9	0.21
4833417C18RIK	na	5.44	1.27
FKBP5	na	285.76	66.72
HDGFRP3	na	32.68	7.64
B3GNT5	na	12.17	2.85
SLFN4	na	3.8	0.89
GM15694	na	1.75	0.41
STPG1	na	0.17	0.04
CXCR5	na	8.88	2.09
EPHB3	na	1.61	0.38
TMEM67	na	4.15	0.98
EEA1	na	10.54	2.49
PVALB	na	4.91	1.16
PLA2G4F	na	1.1	0.26
LGALS3	na	133.54	31.58
DANCR	na	22.74	5.38
KLHL42	na	25.95	6.14
OVOL2	na	0.38	0.09
1700109H08RIK	na	4.43	1.05
GGNBP1	na	0.97	0.23
RGL3	na	6.15	1.46
GM13375	na	7.62	1.81
CLDN23	na	0.21	0.05
LOC100861615	na	0.42	0.1
4930579K19RIK	na	1.76	0.42
FGD1	na	3.77	0.9
MS4A4A	na	10.59	2.53
TFPI	na	19.7	4.71
NAALADL1	na	1.42	0.34
MRGPRE	na	14.44	3.46
ARMCX4	na	2.46	0.59
GM38415	na	0.25	0.06
ENTPD3	na	0.54	0.13
TMEM163	na	2.2	0.53
COL4A2	na	28.64	6.9
TBC1D2	na	1.16	0.28
NRAP	na	0.33	0.08
4933417D19RIK	na	0.66	0.16
RHBDD3	na	15.55	3.77
TTC16	na	0.7	0.17
B230118H07RIK	na	47.15	11.46
SUSD4	na	8.65	2.11
GM14391	na	9.51	2.32
IGF1R	na	13.19	3.22
POLQ	na	11.59	2.84
DOCK6	na	5.24	1.29
CERS4	na	5.44	1.34
BMP1	na	9.2	2.27
H2-L	na	0.81	0.2
LBP	na	10.0	2.47
LOXL3	na	2.63	0.65
GM3704	na	2.71	0.67
MTMR7	na	1.61	0.4
UGT1A7C	na	6.03	1.5
BSN	na	2.29	0.57
TEX2	na	37.75	9.43
DSG1C	na	0.12	0.03
RPH3A	na	0.12	0.03
PCDHB21	na	0.12	0.03
SLC8A3	na	0.08	0.02
ZAN	na	0.04	0.01
EMX2	na	0.12	0.03
ANO5	na	0.04	0.01
RAB36	na	0.56	0.14
CLDN19	na	0.04	0.01
XIST	na	0.04	0.01
HMGA2	na	0.04	0.01
GM12191	na	2.39	0.6
CIT	na	13.88	3.49
TCIRG1	na	47.76	12.03
AOAH	na	6.03	1.52
BMPER	na	0.91	0.23
CD14	na	9.72	2.46
RUNX1	na	80.91	20.48
PORCN	na	3.43	0.87
FOS	na	5.19	1.32
SNORD22	na	5.5	1.4
GRK1	na	0.55	0.14
SLC10A6	na	2.04	0.52
AI607873	na	22.91	5.84
POMC	na	2.51	0.64
1500011B03RIK	na	60.1	15.34
MPP6	na	65.02	16.6
SPX	na	0.94	0.24
B3GNT4	na	0.47	0.12
OLFR543	na	0.9	0.23
CIART	na	3.44	0.88
TMEM25	na	0.43	0.11
NUCB2	na	23.91	6.12
CNBD2	na	123.18	31.57
CLHC1	na	0.39	0.1
4930590J08RIK	na	0.39	0.1
KCND1	na	0.39	0.1
UNKL	na	44.48	11.42
PER2	na	2.45	0.63
OLFR1393	na	0.35	0.09
MEF2B	na	1.01	0.26
CNTNAP2	na	0.5	0.13
SPAG16	na	0.5	0.13
SFTPD	na	1.0	0.26
BC030336	na	28.61	7.46
SLC47A2	na	0.92	0.24
CD300E	na	0.23	0.06
USP43	na	0.23	0.06
RAPGEF2	na	13.44	3.51
NOV	na	3.1	0.81
ZDHHC23	na	3.02	0.79
HPCAL4	na	0.42	0.11
GSR	na	214.2	56.13
PHLDB2	na	2.67	0.7
ADAMTS17	na	1.79	0.47
CEP89	na	26.9	7.07
DGAT1	na	48.05	12.64
1600029I14RIK	na	0.38	0.1
GM13830	na	0.19	0.05
SLC25A18	na	0.38	0.1
UCKL1OS	na	0.38	0.1
APH1B	na	5.34	1.41
LEF1	na	494.6	130.98
KLHL41	na	0.83	0.22
P4HA2	na	2.98	0.79
FBXO36	na	14.14	3.75
GM11544	na	0.49	0.13
ACOD1	na	0.49	0.13
SLAMF6	na	136.56	36.26
SVOPL	na	0.15	0.04
PCDHGA1	na	0.45	0.12
CRABP2	na	3.37	0.9
CDC14B	na	10.52	2.81
BCAR1	na	10.52	2.81
LRRC56	na	5.98	1.6
ZC3HAV1L	na	7.66	2.05
GAB2	na	7.69	2.06
LOXL2	na	5.86	1.57
A3GALT2	na	0.41	0.11
SHB	na	11.77	3.16
CFAP43	na	0.67	0.18
GM6377	na	2.75	0.74
CLU	na	139.68	37.59
SPAG1	na	2.33	0.63
FSTL1	na	28.55	7.74
USP11	na	48.61	13.18
HIST1H2AG	na	45.8	12.43
ZFP768	na	13.41	3.64
AMPD3	na	9.9	2.69
KLF4	na	12.24	3.33
PCDHGA7	na	1.47	0.4
SERPINB9	na	46.35	12.63
SLC12A8	na	0.33	0.09
TMEM265	na	5.39	1.47
GPR85	na	0.22	0.06
ABCG4	na	0.22	0.06
GK5	na	11.84	3.23
SLC9A5	na	3.11	0.85
APOBEC2	na	1.28	0.35
FBLIM1	na	7.24	1.98
RBP1	na	24.99	6.84
NDST1	na	52.53	14.38
CARD14	na	0.84	0.23
FAM199X	na	5.72	1.57
MYOT	na	0.51	0.14
ZFP213	na	17.88	4.91
NRARP	na	11.93	3.28
CCDC14	na	7.05	1.94
TMEM131	na	140.08	38.56
1810024B03RIK	na	31.85	8.78
SLC25A2	na	0.29	0.08
FANCD2OS	na	1.05	0.29
FBXW8	na	15.96	4.41
FAM227A	na	1.37	0.38
2810029C07RIK	na	3.35	0.93
SLC35D3	na	0.18	0.05
WNT5B	na	5.54	1.54
PCDHGB2	na	0.79	0.22
LMLN	na	2.44	0.68
ZSCAN18	na	3.37	0.94
GM6297	na	1.93	0.54
EXD1	na	0.25	0.07
BFSP2	na	6.89	1.93
PAQR3	na	3.03	0.85
RRAGB	na	7.69	2.16
SLC6A12	na	0.32	0.09
TTC9	na	0.32	0.09
FLNC	na	0.71	0.2
SGK1	na	33.01	9.31
4930519F09RIK	na	1.24	0.35
CDH13	na	3.72	1.05
GM14327	na	3.89	1.1
NEB	na	1.06	0.3
2010109I03RIK	na	4.24	1.2
SLC23A1	na	2.33	0.66
CCDC78	na	0.67	0.19
CLEC4A1	na	15.37	4.36
4732416N19RIK	na	0.74	0.21
MAP3K6	na	4.05	1.15
BC100451	na	0.88	0.25
SNHG3	na	129.35	36.75
GM6710	na	19.04	5.41
BNC1	na	5.03	1.43
STAB1	na	4.36	1.24
RCBTB1	na	33.19	9.46
APOA2	na	3.61	1.03
GDF1	na	0.21	0.06
LCT	na	0.07	0.02
EDIL3	na	0.07	0.02
3425401B19RIK	na	0.07	0.02
OVOL3	na	0.21	0.06
BC048546	na	0.07	0.02
BMPR1B	na	0.14	0.04
PCDHB19	na	0.21	0.06
L1TD1	na	0.28	0.08
1600023N17RIK	na	0.49	0.14
INTU	na	6.4	1.83
PYGM	na	7.34	2.1
SH3PXD2B	na	10.31	2.95
CDC25C	na	25.03	7.17
SBF2	na	14.92	4.28
4933433G15RIK	na	1.15	0.33
MAP1A	na	0.87	0.25
PKD1L3	na	1.53	0.44
MYOF	na	10.27	2.96
ZFP316	na	1.93	0.56
GM7904	na	0.62	0.18
SLC35G1	na	9.84	2.86
GM5464	na	0.24	0.07
MFAP5	na	14.4	4.21
2900076A07RIK	na	13.22	3.87
KIF5C	na	2.42	0.71
DOC2G	na	3.68	1.08
LOC105246056	na	2.01	0.59
ZFP287	na	4.21	1.24
TSPYL2	na	30.69	9.04
CAMK2G	na	60.04	17.69
B4GALNT2	na	1.9	0.56
6820431F20RIK	na	34.94	10.31
ITPR2	na	73.88	21.81
TNNC1	na	0.88	0.26
4930404I05RIK	na	0.71	0.21
CPZ	na	0.71	0.21
GAS2	na	6.39	1.89
TLR8	na	5.34	1.58
HMGA1-RS1	na	32.37	9.58
GM29811	na	0.27	0.08
SLC22A13B-PS	na	0.27	0.08
MZF1	na	1.18	0.35
MST1R	na	2.09	0.62
SLIT3	na	6.3	1.87
FGF7	na	0.64	0.19
HIST1H2BG	na	3.87	1.15
4931428F04RIK	na	5.41	1.61
PLD6	na	0.47	0.14
STRA6	na	2.08	0.62
GM8624	na	0.77	0.23
NDST2	na	17.56	5.25
PTGFRN	na	15.37	4.6
ANGPT2	na	1.3	0.39
6030408B16RIK	na	0.2	0.06
CCDC74A	na	0.3	0.09
NMNAT2	na	0.5	0.15
3632451O06RIK	na	0.5	0.15
4933433H22RIK	na	0.3	0.09
ZDHHC1	na	12.6	3.78
IFI204	na	38.02	11.41
C920006O11RIK	na	8.16	2.45
AW011738	na	15.35	4.61
ZFP9	na	1.23	0.37
PLCH2	na	0.83	0.25
KDELC2	na	5.9	1.78
KIF7	na	5.3	1.6
GM13807	na	0.96	0.29
CDCA2	na	28.96	8.75
RNF26	na	10.21	3.09
PRKAR2A	na	16.55	5.01
ANKS6	na	1.55	0.47
HIST1H2AN	na	3.36	1.02
SMYD1	na	7.9	2.4
TMEM216	na	20.66	6.28
PLA2G7	na	37.36	11.39
CGREF1	na	0.82	0.25
RPS6KA5	na	18.59	5.67
HERPUD1	na	107.17	32.69
2610020C07RIK	na	3.57	1.09
EGF	na	1.08	0.33
HIST1H3G	na	4.25	1.3
TAGLN	na	41.65	12.75
NLN	na	7.77	2.38
SCAMP1	na	15.2	4.66
PCDHGB1	na	0.75	0.23
TNS4	na	6.45	1.98
AMIGO3	na	2.8	0.86
GABBR2	na	0.13	0.04
EDN2	na	0.26	0.08
VCAN	na	1.3	0.4
COL11A2	na	2.08	0.64
GM16740	na	3.38	1.04
COL8A2	na	0.39	0.12
PCYOX1L	na	3.41	1.05
F2R	na	24.38	7.51
RAD54L2	na	19.6	6.04
NFXL1	na	14.43	4.45
PFN4	na	1.07	0.33
NPM2	na	1.78	0.55
CLDN3	na	4.53	1.4
TMEM116	na	0.55	0.17
KLF8	na	2.07	0.64
FCGR2B	na	32.93	10.19
SERINC4	na	2.1	0.65
SHCBP1L	na	0.71	0.22
CCR1	na	4.74	1.47
TMEM198	na	0.58	0.18
GDPD2	na	0.29	0.09
NMRK1	na	12.94	4.02
IL17RD	na	0.74	0.23
MORN4	na	0.9	0.28
KLRG2	na	0.45	0.14
BC051226	na	34.8	10.83
SAA3	na	21.88	6.81
SPARC	na	141.26	44.04
1700001G17RIK	na	0.93	0.29
PROSER1	na	41.39	12.91
KCNK13	na	1.25	0.39
SGK2	na	0.16	0.05
1700001K19RIK	na	0.96	0.3
GM21284	na	0.32	0.1
CDH15	na	0.16	0.05
B3GNT6	na	0.16	0.05
TUBA3B	na	0.32	0.1
EPPK1	na	0.64	0.2
OPTC	na	0.99	0.31
TROAP	na	22.64	7.09
WDR19	na	4.31	1.35
TNFAIP2	na	14.17	4.44
PPBP	na	2.68	0.84
CAR12	na	2.83	0.89
NPCD	na	2.13	0.67
CD276	na	2.51	0.79
MEST	na	1.11	0.35
NUMBL	na	7.83	2.47
CCDC157	na	4.5	1.42
TTLL13	na	0.19	0.06
GM5126	na	0.57	0.18
ZBED3	na	41.28	13.04
MMP8	na	0.6	0.19
1700001L05RIK	na	0.6	0.19
IFT74	na	16.04	5.08
ASB5	na	0.41	0.13
ITGB4	na	10.11	3.21
LRP1	na	14.05	4.47
HIST1H1E	na	1.54	0.49
NOXO1	na	3.33	1.06
4930512M02RIK	na	1.79	0.57
SYNE4	na	1.57	0.5
KLF1	na	0.69	0.22
PRRX2	na	1.16	0.37
FAM160A2	na	3.66	1.17
ZMAT3	na	8.79	2.81
GM10069	na	0.25	0.08
GM1141	na	0.25	0.08
COL19A1	na	0.25	0.08
ANXA8	na	14.12	4.52
PDGFRB	na	6.8	2.18
VWA7	na	0.53	0.17
STK36	na	0.53	0.17
LPCAT4	na	24.11	7.74
CPXM2	na	4.08	1.31
RHOQ	na	25.55	8.21
LRRC15	na	0.56	0.18
PP2D1	na	0.28	0.09
ERN1	na	11.37	3.66
A330023F24RIK	na	1.21	0.39
ITGBL1	na	1.42	0.46
PCDHB17	na	0.71	0.23
SLC36A1OS	na	1.08	0.35
MSS51	na	6.88	2.23
PALM	na	95.95	31.13
NRP	na	1.17	0.38
MAGEH1	na	4.7	1.53
MT1	na	257.8	83.94
TOM1	na	4.79	1.56
1500004A13RIK	na	5.25	1.71
C030034L19RIK	na	6.38	2.08
SLC39A5	na	16.98	5.54
ANKRD52	na	43.92	14.33
FARP2	na	2.51	0.82
PLAG1	na	1.07	0.35
BTBD16	na	0.55	0.18
2700099C18RIK	na	19.97	6.54
EAR2	na	82.91	27.19
FIRRE	na	21.5	7.06
CHD2	na	40.8	13.44
CHST14	na	12.25	4.04
IFI202B	na	4.27	1.41
GM19557	na	1.15	0.38
CCDC97	na	18.6	6.15
ARRDC3	na	28.16	9.32
APOLD1	na	5.01	1.66
MICAL2	na	2.14	0.71
PTPRZ1	na	3.31	1.1
LAMA1	na	0.12	0.04
DNAH7C	na	0.03	0.01
VSIG10	na	3.72	1.24
PRKCG	na	0.72	0.24
MUG1	na	0.03	0.01
MEGF10	na	0.03	0.01
2900005J15RIK	na	0.36	0.12
ATP8B3	na	0.09	0.03
MYOM2	na	0.09	0.03
CXCL17	na	1.98	0.66
ALPK3	na	0.24	0.08
UBXN10	na	0.81	0.27
KCNIP1	na	0.21	0.07
KIFC3	na	11.1	3.7
HC	na	0.21	0.07
SCN2A1	na	0.21	0.07
SLC26A9	na	0.15	0.05
COL4A3	na	0.15	0.05
PSRC1	na	32.52	10.85
HSPA2	na	4.85	1.62
GDA	na	9.31	3.11
SNHG10	na	7.84	2.62
1700024P16RIK	na	7.74	2.59
REC114	na	2.06	0.69
FANCA	na	9.99	3.35
GM14393	na	1.61	0.54
PIK3R3	na	12.13	4.07
SNHG5	na	49.82	16.72
GAL	na	1.25	0.42
SEPN1	na	8.75	2.94
USP44	na	2.47	0.83
TAF4B	na	5.17	1.74
EMB	na	196.44	66.21
BZW2	na	166.02	55.99
NID2	na	3.79	1.28
GPR27	na	0.74	0.25
ACTG2	na	1.45	0.49
ZGRF1	na	9.22	3.12
5730408K05RIK	na	16.57	5.61
2210418O10RIK	na	5.02	1.7
HIST1H2BR	na	4.31	1.46
HIST1H2BQ	na	4.31	1.46
CITED1	na	0.56	0.19
GM12709	na	7.25	2.46
APLNR	na	3.27	1.11
SYNGR4	na	1.62	0.55
MARVELD3	na	1.53	0.52
WDR62	na	9.32	3.17
COL14A1	na	4.61	1.57
KLHL7	na	15.12	5.15
CDH1	na	28.84	9.83
CCDC189	na	1.76	0.6
GGT7	na	3.9	1.33
GM11127	na	10.55	3.6
PCDH7	na	2.46	0.84
GM19466	na	0.41	0.14
ARRDC4	na	18.73	6.4
KATNAL1	na	7.08	2.42
SLK	na	56.58	19.34
ARHGAP11A	na	39.64	13.56
HIST1H2BL	na	2.28	0.78
KIFC1	na	53.47	18.3
INTS1	na	36.53	12.52
LOXL1	na	9.15	3.14
RASSF8	na	5.36	1.84
HGF	na	2.68	0.92
EMILIN2	na	4.98	1.71
TACSTD2	na	8.61	2.96
ZFP362	na	98.45	33.87
ADAM8	na	13.42	4.62
IFNZ	na	0.29	0.1
LYPD1	na	0.29	0.1
ANKRD16	na	21.5	7.42
SH3GL3	na	2.11	0.73
NEURL1A	na	0.26	0.09
MAPRE2	na	28.26	9.79
MAL	na	1.01	0.35
LOC105246506	na	2.13	0.74
CCDC173	na	7.33	2.55
DAB2	na	13.16	4.58
CATSPER2	na	1.81	0.63
ZFP236	na	26.37	9.19
RBM33	na	37.51	13.08
2810410L24RIK	na	7.74	2.7
C1QB	na	394.51	137.72
METTL24	na	0.63	0.22
DVL3	na	25.08	8.76
GNRH1	na	2.89	1.01
ZFP112	na	1.83	0.64
CEBPD	na	5.89	2.06
4930552P12RIK	na	0.2	0.07
TMEM241	na	13.07	4.58
1700084E18RIK	na	2.34	0.82
HSPG2	na	7.64	2.68
4933433G19RIK	na	1.71	0.6
CHD7	na	3.22	1.13
GALNS	na	17.98	6.31
FGG	na	1.31	0.46
FAP	na	2.62	0.92
AKAP17B	na	3.36	1.18
BC025920	na	7.4	2.6
NKAIN3	na	0.37	0.13
TAS1R3	na	0.71	0.25
A330035P11RIK	na	1.39	0.49
FBXW9	na	9.73	3.43
LAMC2	na	14.54	5.13
COL16A1	na	2.04	0.72
PCDHGC5	na	0.68	0.24
PIEZO2	na	0.17	0.06
SKA3	na	23.26	8.21
SPAG5	na	41.16	14.53
ALKBH3OS1	na	0.82	0.29
VPS37D	na	2.12	0.75
TCTN3	na	5.36	1.9
SLC16A4	na	2.03	0.72
CAR5A	na	0.62	0.22
ZBTB39	na	7.1	2.52
AIPL1	na	1.52	0.54
PROB1	na	2.87	1.02
SNORA73B	na	3.01	1.07
CAGE1	na	0.59	0.21
8430430B14RIK	na	1.85	0.66
NPC1	na	40.71	14.53
OTOA	na	0.14	0.05
ADD2	na	0.14	0.05
MYO1H	na	0.28	0.1
RSPH1	na	1.37	0.49
PDE8B	na	1.62	0.58
CD300LF	na	5.74	2.06
GM21992	na	0.39	0.14
DBX2	na	1.03	0.37
CCDC88A	na	13.99	5.03
MAPKBP1	na	7.92	2.85
EXOC1	na	24.17	8.7
SSH1	na	7.05	2.54
PIEZO1	na	12.84	4.63
AHSG	na	0.61	0.22
TIE1	na	4.74	1.71
PNPLA6	na	18.38	6.64
NID1	na	17.96	6.49
FGFBP3	na	11.37	4.11
ASNS	na	11.81	4.27
PAN2	na	33.83	12.24
IQCK	na	1.52	0.55
SNX24	na	2.68	0.97
SLC35F5	na	7.76	2.81
DNAL1	na	3.12	1.13
EIF2AK3	na	39.36	14.26
9230116N13RIK	na	1.49	0.54
GM15545	na	16.3	5.91
ASPM	na	23.83	8.65
AA465934	na	16.67	6.06
FAM131C	na	0.33	0.12
CCDC64B	na	0.33	0.12
RGS20	na	1.73	0.63
WDFY1	na	5.82	2.12
ADAMTS7	na	0.52	0.19
2410089E03RIK	na	8.73	3.19
HMGA1	na	654.08	239.11
GPRIN2	na	0.3	0.11
RAB17	na	0.3	0.11
AGER	na	11.78	4.32
ADAM9	na	17.98	6.6
ZBTB16	na	1.96	0.72
ARHGAP21	na	10.95	4.03
STIL	na	18.55	6.83
CEP164	na	20.5	7.55
ATXN7L1OS2	na	0.57	0.21
E130012A19RIK	na	4.72	1.74
KLK13	na	0.92	0.34
CFAP36	na	71.35	26.41
DLX1	na	0.54	0.2
LPAR5	na	5.8	2.15
A930013F10RIK	na	2.75	1.02
FRMD4B	na	20.63	7.66
DRC7	na	0.43	0.16
ACVR1	na	5.24	1.95
ZFP580	na	27.0	10.05
NBEAL1	na	5.48	2.04
USP36	na	20.03	7.46
PCDHGB4	na	1.02	0.38
XKR5	na	2.84	1.06
TENM1	na	2.7	1.01
NAGA	na	39.21	14.67
COL6A1	na	23.59	8.83
ADAMTS2	na	4.03	1.51
MUC5AC	na	0.08	0.03
DDAH1	na	1.12	0.42
4930562C15RIK	na	0.32	0.12
MACC1	na	0.8	0.3
GRIN3A	na	0.16	0.06
TNN	na	0.16	0.06
MICALCL	na	0.24	0.09
1810032O08RIK	na	23.78	8.92
D17H6S56E-5	na	274.37	102.95
CDC25B	na	63.75	23.93
ATP5G2	na	70.91	26.63
MFAP2	na	4.42	1.66
FKBP1B	na	2.98	1.12
QRFP	na	1.33	0.5
MAL2	na	1.33	0.5
POM121	na	45.65	17.17
GAS5	na	107.27	40.37
CTCFL	na	1.86	0.7
SLC15A3	na	12.94	4.87
OLFML2B	na	2.63	0.99
SRGAP1	na	0.77	0.29
2610005L07RIK	na	48.78	18.38
DTX3	na	50.78	19.17
NEXN	na	0.98	0.37
4930577N17RIK	na	1.72	0.65
PCDHGA4	na	0.82	0.31
TIAM1	na	19.06	7.21
HSPA1L	na	3.33	1.26
CLCN2	na	5.31	2.01
SNX8	na	7.89	2.99
HIST1H2AB	na	5.24	1.99
AI506816	na	166.79	63.39
CAPSL	na	5.33	2.03
1110032F04RIK	na	2.31	0.88
TMEM97	na	31.56	12.04
MNDAL	na	126.16	48.15
G530011O06RIK	na	10.69	4.08
TTLL4	na	20.08	7.67
ADGRA2	na	2.33	0.89
BCAT1	na	1.91	0.73
INCENP	na	113.5	43.39
C5AR2	na	0.34	0.13
DACT3	na	1.02	0.39
KLHL35	na	0.34	0.13
MYO7A	na	2.38	0.91
ACVR2B	na	2.64	1.01
MYO1E	na	9.43	3.61
FAM83D	na	9.4	3.6
EIF2AK4	na	8.46	3.24
PRR7	na	9.79	3.75
1810044D09RIK	na	9.92	3.8
FAM151B	na	7.62	2.92
BC055324	na	13.7	5.25
2210408I21RIK	na	2.53	0.97
RIMS3	na	3.39	1.3
2310068J16RIK	na	0.73	0.28
PMEL	na	4.43	1.7
1500009L16RIK	na	36.22	13.9
BBX	na	15.5	5.95
INHBB	na	3.02	1.16
PGPEP1L	na	4.92	1.89
POU4F1	na	0.26	0.1
4931431C16RIK	na	0.26	0.1
NKD1	na	2.08	0.8
GM10432	na	0.13	0.05
HIST1H3I	na	2.47	0.95
SLC6A7	na	0.26	0.1
F930015N05RIK	na	0.26	0.1
MEGF11	na	0.13	0.05
MYH3	na	0.13	0.05
MEX3A	na	19.69	7.58
GM14295	na	15.2	5.86
NEIL3	na	36.79	14.19
COX4I2	na	2.54	0.98
RDH10	na	12.49	4.82
POSTN	na	35.11	13.55
FAM228B	na	0.57	0.22
FNIP2	na	3.03	1.17
CAMK2B	na	192.65	74.41
